construct,method,split,decoupling_axis,layer,n,accuracy,mean_signed_probe_score,signed_probe_score_se,direction_accuracy_reference,direction_mean_signed_projection_reference
certainty,probe,decoupling,quotation,3,12,0.5,-0.00265615185101827,0.14891639725579361,0.5,-0.091890553633372
certainty,probe,decoupling,quotation,4,12,0.5,-0.0006558348735173544,0.14899915091023858,0.5,-0.10040391857425372
certainty,probe,decoupling,quotation,5,12,0.5,-0.01134758194287618,0.13799061447550334,0.5,-0.17271910111109415
certainty,probe,decoupling,quotation,6,12,0.5,-0.04037874688704809,0.12140099383829003,0.5,-0.36652810374895733
certainty,probe,decoupling,quotation,7,12,0.5,0.046105449398358665,0.12867409009795155,0.5,0.5069499611854553
certainty,probe,decoupling,quotation,8,12,0.5833333333333334,0.09317462891340256,0.11777043374063519,0.5833333333333334,1.4783057322104771
certainty,probe,decoupling,quotation,9,12,0.6666666666666666,0.10208285599946976,0.11764690412758669,0.6666666666666666,2.5875923931598663
certainty,probe,decoupling,quotation,10,12,0.5833333333333334,0.13891504953304926,0.11045834795386264,0.5833333333333334,3.905421733856201
certainty,probe,decoupling,quotation,11,12,0.5,0.0858801007270813,0.12141714580822303,0.5,3.6284019400676093
certainty,probe,decoupling,contrast,0,12,0.5,-0.00931934267282486,0.144462474410453,0.5,-0.15660146872202554
certainty,probe,decoupling,contrast,1,12,0.5,-0.028845126430193584,0.1389623797768726,0.4166666666666667,-0.11856752137343089
certainty,probe,decoupling,contrast,2,12,0.5,-0.0006769622365633646,0.14990011800802697,0.5,-0.09665378928184509
certainty,probe,decoupling,contrast,3,12,0.5833333333333334,0.0010900770624478657,0.12017702589275349,0.5,-0.07995143036047618
certainty,probe,decoupling,contrast,4,12,0.5,-0.0034023051460584006,0.1490860891333482,0.4166666666666667,-0.1389270027478536
certainty,probe,decoupling,contrast,5,12,0.3333333333333333,-0.13384738067785898,0.1161531959105244,0.4166666666666667,-0.3240402738253276
certainty,probe,decoupling,contrast,6,12,0.3333333333333333,-0.12802952527999878,0.0889583235775831,0.4166666666666667,-0.6863553822040558
certainty,probe,decoupling,contrast,7,12,0.5,0.017386282483736675,0.11488740116108095,0.5833333333333334,0.5404910544554392
certainty,probe,decoupling,contrast,8,12,0.6666666666666666,0.12068282316128413,0.1126713188249072,0.6666666666666666,2.910202612479528
certainty,probe,decoupling,contrast,9,12,0.6666666666666666,0.17784290512402853,0.11947061065537011,0.9166666666666666,6.7726443608601885
certainty,probe,decoupling,contrast,10,12,0.75,0.24428699165582657,0.09960043331852346,0.8333333333333334,9.384509980678558
certainty,probe,decoupling,contrast,11,12,0.75,0.20673501739899316,0.10078635522540422,0.5833333333333334,8.692158430814743
certainty,probe,decoupling,format_shift,0,12,0.6666666666666666,0.08803877731164296,0.11286202382589136,0.5,0.05694049596786499
certainty,probe,decoupling,format_shift,1,12,0.5833333333333334,0.03687914957602819,0.12391415943491164,0.5833333333333334,0.1676078929255406
certainty,probe,decoupling,format_shift,2,12,0.5,0.04127079745133718,0.1377974478566469,0.5,0.21411423881848654
certainty,probe,decoupling,format_shift,3,12,0.6666666666666666,0.11711982637643814,0.11631941658255715,0.6666666666666666,0.3791782682140668
certainty,probe,decoupling,format_shift,4,12,0.5,0.03978275010983149,0.12891977407059038,0.5833333333333334,0.4623372753461202
certainty,probe,decoupling,format_shift,5,12,0.6666666666666666,0.1444974218805631,0.09124499285903137,0.5833333333333334,0.6894252101580302
certainty,probe,decoupling,format_shift,6,12,0.5833333333333334,0.18781515210866928,0.1101872399619206,0.8333333333333334,1.701639970143636
certainty,probe,decoupling,format_shift,7,12,0.75,0.20184059937795004,0.10533993884906442,0.75,2.328569956123829
certainty,probe,decoupling,format_shift,8,12,0.6666666666666666,0.17948308338721594,0.11201548490266885,0.8333333333333334,3.3831550727287927
certainty,probe,decoupling,format_shift,9,12,0.6666666666666666,0.14777348190546036,0.11506752762408669,0.75,4.480916169782479
certainty,probe,decoupling,format_shift,10,12,0.6666666666666666,0.1322019025683403,0.1205143018957099,0.8333333333333334,5.880204598108928
certainty,probe,decoupling,format_shift,11,12,0.5833333333333334,0.13272281984488168,0.12324693277343862,0.5833333333333334,7.701134284337361
