construct,method,baseline_type,split,decoupling_axis,layer,n,accuracy,mean_signed_projection,signed_projection_se
certainty,direction,shuffled_label_direction,heldout,ordinary,3,36,0.5277777777777778,-0.033913166986571416,2.12891831586479
certainty,direction,shuffled_label_direction,heldout,ordinary,4,36,0.5,-0.07050399647818671,2.1195852775853465
certainty,direction,shuffled_label_direction,heldout,ordinary,5,36,0.5,0.02149612373775906,2.238277775793878
certainty,direction,shuffled_label_direction,heldout,ordinary,6,36,0.5277777777777778,0.2660758395989736,2.4587243922290196
certainty,direction,shuffled_label_direction,heldout,ordinary,7,36,0.5,0.2403596689303716,2.8643391191460394
certainty,direction,shuffled_label_direction,heldout,ordinary,8,36,0.5,0.115618454085456,3.1494379771576875
certainty,direction,shuffled_label_direction,heldout,ordinary,9,36,0.5,0.11480498313903809,3.264773221030247
certainty,direction,shuffled_label_direction,heldout,ordinary,10,36,0.5277777777777778,0.060482396019829646,4.1090283821355715
certainty,direction,shuffled_label_direction,heldout,ordinary,11,36,0.5,-0.970505005783505,6.499298116616461
certainty,direction,direction,decoupling,lexical_reversal,0,12,0.5,0.164103036125501,0.7788152066075618
certainty,direction,direction,decoupling,lexical_reversal,1,12,0.4166666666666667,0.1730774069825808,0.37493313722433996
certainty,direction,direction,decoupling,lexical_reversal,2,12,0.75,0.26832395792007446,0.42590029774408117
certainty,direction,direction,decoupling,lexical_reversal,3,12,0.5833333333333334,0.5253333250681559,0.5833761637685357
certainty,direction,direction,decoupling,lexical_reversal,4,12,0.6666666666666666,0.3710646256804466,0.6700219805527984
certainty,direction,direction,decoupling,lexical_reversal,5,12,0.6666666666666666,0.13988637179136276,0.7920751004662095
certainty,direction,direction,decoupling,lexical_reversal,6,12,0.5833333333333334,0.46533820033073425,0.9598889813668214
certainty,direction,direction,decoupling,lexical_reversal,7,12,0.5833333333333334,1.2604861905177434,1.4488881616155718
certainty,direction,direction,decoupling,lexical_reversal,8,12,0.6666666666666666,2.861912195881208,1.692564409484732
certainty,direction,direction,decoupling,lexical_reversal,9,12,0.75,4.984812557697296,2.0454773842700846
certainty,direction,direction,decoupling,lexical_reversal,10,12,0.75,6.8551649649937945,2.5747655006112162
certainty,direction,direction,decoupling,lexical_reversal,11,12,0.5,7.899078478415807,8.183092322347001
certainty,direction,random_direction,decoupling,lexical_reversal,0,12,0.6666666666666666,0.09861006613619766,0.1907734794162623
certainty,direction,random_direction,decoupling,lexical_reversal,1,12,0.5,0.15753813022889498,0.19374771697030516
certainty,direction,random_direction,decoupling,lexical_reversal,2,12,0.6666666666666666,0.10397234150081264,0.21380673738017014
certainty,direction,random_direction,decoupling,lexical_reversal,3,12,0.5,-0.04805712072148823,0.43567830969709137
certainty,direction,random_direction,decoupling,lexical_reversal,4,12,0.4166666666666667,0.011706026639960926,0.15384544785773668
certainty,direction,random_direction,decoupling,lexical_reversal,5,12,0.5833333333333334,0.24052909633276173,0.27975576816443326
certainty,direction,random_direction,decoupling,lexical_reversal,6,12,0.3333333333333333,-0.11743795930755441,0.5776020479599232
certainty,direction,random_direction,decoupling,lexical_reversal,7,12,0.5833333333333334,0.5540847047051328,1.034771817976207
certainty,direction,random_direction,decoupling,lexical_reversal,8,12,0.5,-0.09001448415316822,0.784645467811072
certainty,direction,random_direction,decoupling,lexical_reversal,9,12,0.5,0.32148050108584747,1.1999772849601167
certainty,direction,random_direction,decoupling,lexical_reversal,10,12,0.5,0.0764675856189662,0.7854355322550767
certainty,direction,random_direction,decoupling,lexical_reversal,11,12,0.4166666666666667,-0.0695607278667101,0.6124082202854513
certainty,direction,shuffled_label_direction,decoupling,lexical_reversal,0,12,0.5833333333333334,1.437015692392985,3.3713499559069273
certainty,direction,shuffled_label_direction,decoupling,lexical_reversal,1,12,0.5833333333333334,1.6947055210669835,3.6070316324427174
certainty,direction,shuffled_label_direction,decoupling,lexical_reversal,2,12,0.5833333333333334,1.5680738886197407,3.5097520324552933
certainty,direction,shuffled_label_direction,decoupling,lexical_reversal,3,12,0.5833333333333334,1.3444359103838603,3.235686667754794
certainty,direction,shuffled_label_direction,decoupling,lexical_reversal,4,12,0.5833333333333334,0.959198514620463,3.338294971400053
certainty,direction,shuffled_label_direction,decoupling,lexical_reversal,5,12,0.5833333333333334,0.9026106794675192,3.1982218016209485
certainty,direction,shuffled_label_direction,decoupling,lexical_reversal,6,12,0.5833333333333334,1.1231338779131572,3.493904509619058
certainty,direction,shuffled_label_direction,decoupling,lexical_reversal,7,12,0.5833333333333334,0.6817886034647623,3.658443946167764
certainty,direction,shuffled_label_direction,decoupling,lexical_reversal,8,12,0.5,0.2823456327120463,4.407491630605148
certainty,direction,shuffled_label_direction,decoupling,lexical_reversal,9,12,0.5,-0.03890788555145264,4.842565727773914
certainty,direction,shuffled_label_direction,decoupling,lexical_reversal,10,12,0.5,0.1853079398473104,5.794800903271482
certainty,direction,shuffled_label_direction,decoupling,lexical_reversal,11,12,0.5833333333333334,6.082537690798442,8.127981372405939
certainty,direction,direction,decoupling,negation,0,12,0.5,-0.15445332477490106,0.6760616984531865
certainty,direction,direction,decoupling,negation,1,12,0.5,-0.11950766543547313,0.3790270536916504
certainty,direction,direction,decoupling,negation,2,12,0.5,-0.11905378103256226,0.5508393540560036
certainty,direction,direction,decoupling,negation,3,12,0.5,-0.25730949143568677,0.802473080273059
certainty,direction,direction,decoupling,negation,4,12,0.5,-0.12893507877985635,0.8358203404412937
certainty,direction,direction,decoupling,negation,5,12,0.5,-0.14178448915481567,0.677977205926274
certainty,direction,direction,decoupling,negation,6,12,0.5833333333333334,0.7506595353285471,1.3508742982087707
certainty,direction,direction,decoupling,negation,7,12,0.6666666666666666,1.9178579300642014,1.4012576636238387
certainty,direction,direction,decoupling,negation,8,12,0.5833333333333334,3.10951030254364,1.65738325109398
certainty,direction,direction,decoupling,negation,9,12,0.8333333333333334,4.678524494171143,1.8329627127912171
certainty,direction,direction,decoupling,negation,10,12,0.8333333333333334,5.626737495263417,2.8577871315043595
certainty,direction,direction,decoupling,negation,11,12,0.5833333333333334,6.133458534876506,6.380121543033263
certainty,direction,random_direction,decoupling,negation,0,12,0.5,0.050936516332257174,0.16739402002724277
certainty,direction,random_direction,decoupling,negation,1,12,0.5,-0.05765769106823652,0.14342436512610596
certainty,direction,random_direction,decoupling,negation,2,12,0.5,0.044386534703176606,0.5541990853761889
certainty,direction,random_direction,decoupling,negation,3,12,0.5,0.048072909487801345,0.3794965668686046
certainty,direction,random_direction,decoupling,negation,4,12,0.5,-0.03591046391334903,0.5655942719804804
certainty,direction,random_direction,decoupling,negation,5,12,0.5,-0.04329728594001001,0.5521075755279459
certainty,direction,random_direction,decoupling,negation,6,12,0.5,-0.08285291352584957,0.8898607398491435
certainty,direction,random_direction,decoupling,negation,7,12,0.5,-0.12640197350030055,0.7912098049912495
certainty,direction,random_direction,decoupling,negation,8,12,0.5,0.29747292181660706,0.9801531300850518
certainty,direction,random_direction,decoupling,negation,9,12,0.5,0.6057674452243447,1.7477485363216902
certainty,direction,random_direction,decoupling,negation,10,12,0.5,0.355990119337038,1.4396772363033787
certainty,direction,random_direction,decoupling,negation,11,12,0.3333333333333333,-0.4532304803222151,0.9067000346649534
certainty,direction,shuffled_label_direction,decoupling,negation,0,12,0.5,-0.005623817443847656,3.181466482267853
certainty,direction,shuffled_label_direction,decoupling,negation,1,12,0.5,-0.113238791624705,3.4029934660455234
certainty,direction,shuffled_label_direction,decoupling,negation,2,12,0.5,-0.10880309343338013,3.469187641681759
certainty,direction,shuffled_label_direction,decoupling,negation,3,12,0.5,-0.1281177600224813,3.5064585666598793
certainty,direction,shuffled_label_direction,decoupling,negation,4,12,0.5,-0.09141133228937785,3.2805134429021825
certainty,direction,shuffled_label_direction,decoupling,negation,5,12,0.5,-0.1422569751739502,3.367560246974958
certainty,direction,shuffled_label_direction,decoupling,negation,6,12,0.5,-0.03419005870819092,3.4319872386092998
certainty,direction,shuffled_label_direction,decoupling,negation,7,12,0.5,0.05130207538604736,3.88934357498673
certainty,direction,shuffled_label_direction,decoupling,negation,8,12,0.5,0.34514379501342773,4.96864887514387
certainty,direction,shuffled_label_direction,decoupling,negation,9,12,0.5,-0.23220606644948324,5.608991828465686
